Annual Income (k$),Spending Score (1-100)
59.9,58.0
48.4,37.0
70.5,26.0
81.1,30.0
42.1,58.0
36.7,73.0
90.4,34.0
74.8,35.0
42.3,43.0
48.6,61.0
21.2,52.0
47.2,67.0
45.4,48.0
15.0,78.0
25.9,65.0
35.3,54.0
39.7,49.0
55.9,43.0
38.5,59.0
15.0,64.0
89.0,23.0
44.1,51.0
44.4,52.0
26.9,37.0
24.2,65.0
50.7,39.0
21.2,50.0
40.2,36.0
24.4,42.0
50.9,36.0
31.6,50.0
99.1,42.0
41.3,48.0
17.5,65.0
62.1,46.0
37.5,56.0
48.0,49.0
15.0,50.0
27.1,73.0
53.2,66.0
87.7,16.0
59.0,35.0
40.9,51.0
31.4,48.0
20.7,66.0
36.9,48.0
30.7,79.0
64.9,53.0
53.8,49.0
20.0,71.0
51.3,59.0
34.1,51.0
34.8,48.0
70.0,41.0
82.3,42.0
77.7,37.0
18.2,47.0
34.6,48.0
39.0,52.0
70.5,38.0
37.7,75.0
32.2,43.0
22.0,66.0
19.6,77.0
80.9,57.0
77.7,30.0
38.0,59.0
79.1,41.0
46.6,52.0
34.4,55.0
64.4,47.0
89.1,3.0
35.2,62.0
98.1,26.0
21.5,56.0
62.8,62.0
54.0,41.0
54.3,44.0
38.4,74.0
15.0,53.0
50.1,44.0
53.2,46.0
86.9,38.0
41.1,56.0
37.9,42.0
27.8,54.0
84.3,27.0
60.4,44.0
36.6,60.0
52.5,52.0
35.2,37.0
69.3,50.0
39.4,57.0
39.7,68.0
49.2,55.0
21.3,72.0
53.7,52.0
41.0,66.0
45.4,57.0
40.6,53.0
27.6,81.0
37.2,64.0
39.1,60.0
41.4,41.0
40.3,41.0
38.1,47.0
104.9,21.0
58.5,40.0
38.9,55.0
49.3,66.0
15.0,69.0
47.7,39.0
48.0,49.0
97.7,10.0
35.7,52.0
43.7,47.0
38.3,49.0
22.7,47.0
77.5,34.0
78.7,30.0
79.7,6.0
44.9,72.0
79.5,44.0
27.7,54.0
80.0,36.0
100.1,8.0
31.8,74.0
42.5,72.0
51.3,50.0
28.5,69.0
31.0,58.0
54.5,34.0
25.1,56.0
53.1,48.0
38.5,50.0
82.7,29.0
43.4,52.0
59.1,45.0
66.2,41.0
16.6,52.0
51.6,41.0
87.6,18.0
20.4,70.0
59.0,25.0
38.5,65.0
74.8,52.0
22.8,57.0
39.6,27.0
68.7,37.0
43.1,51.0
44.8,41.0
57.9,40.0
33.5,72.0
48.8,56.0
49.4,40.0
19.4,46.0
84.7,25.0
47.3,47.0
23.7,65.0
82.1,30.0
21.1,66.0
